"source_genesymbol","target_genesymbol","interact"
"TSG101","UBC",0
"PEX5","UBC",0
"RAD23A","UBC",0
"UBC","TOM1",0
"ANKS1B","UBC",0
"GGA3","UBC",0
"USP5","UBC",0
"UBC","STAMBP",0
"FAAP20","UBC",0
"USP15","UBC",0
"RDH12","UBC",0
"UBE2K","UBC",0
"USP30","UBC",0
"VPS36","UBC",0
"UBTD2","UBC",0
"RNF169","UBC",0
"UBE2G2","UBC",0
"UBL7","UBC",0
"RNF126","UBC",0
"JOSD1","UBC",0
"RNF114","UBC",0
"OTUD7B","UBC",0
"GRB2","SYN1",0
"SPTAN1","SYN1",0
"S100A1","SYN1",0
"TRPV4","CDH1",0
"TRPV4","AQP4",0
"TRPV4","CANX",0
"AGTR1","BDKRB2",0
"AGTR1","RAB5A",0
"PTGFR","AGTR1",0
"THOP1","AGTR1",0
"ITPR1","VCP",0
"ITPR1","FKBP1A",0
"ITPR1","BRCA1",0
"ITPR1","BECN1",0
"ITPR1","BCL2",0
"EPB41L1","ITPR1",0
"ITPR1","AHCYL1",0
"ITPR1","CA8",0
"ERP44","ITPR1",0
"ITPRIP","ITPR1",0
"CLTC","VCL",0
"CLTC","HGS",0
"CLTC","CLTA",0
"CLTC","AMPH",0
"EPN1","CLTC",0
"CLTC","TFAP2A",0
"OCRL","CLTC",0
"CLTC","HIP1",0
"CLTC","TOM1",0
"CLTC","ARR3",0
"HERC1","CLTC",0
"FYN","FN1",0
"FYN","EFS",0
"TNNC1","TNNI1",0
"TRPC1","DMD",0
"NOS1","DMD",0
"ACTC1","DMD",0
"ACTA1","DMD",0
"SNTA1","DMD",0
"DAG1","DMD",0
"DMD","DTNB",0
"PGM5","DMD",0
"STAT5A","PPIB",0
"PPIB","PRL",0
"ARRB2","DRD2",0
"PAWR","DRD2",0
"SSTR5","DRD2",0
"ADORA2A","DRD2",0
"DRD4","DRD2",0
"SNAPIN","SNAP23",0
"SNAPIN","EBAG9",0
"RGS7","SNAPIN",0
"SLC14A2","SNAPIN",0
"STAT3","STMN1",0
"RLIM","STMN1",0
"TRPV5","PRKCSH",0
"GANAB","PRKCSH",0
"CANX","PRKCSH",0
"KCNQ2","KCNQ3",0
"RGS2","ADCY5",0
"RGS2","ADRA1A",0
"LRRK2","RGS2",0
"RGS2","MARCH6",0
"TGM2","ANXA1",0
"KRT8","ANXA1",0
"PLA2G4A","ANXA1",0
"S100A11","ANXA1",0
